		Dry-bulb temperature (°C)
		
Date	Time	KEW.FWT
	17:00	7.40
	18:00	7.20
	19:00	5.00
	20:00	4.20
	21:00	2.20
	22:00	1.40
	23:00	0.70
Sat, 25/Jan	24:00	0.20
	01:00	1.00
	02:00	1.60
	03:00	1.60
	04:00	1.80
	05:00	1.80
	06:00	1.70
	07:00	1.40
	08:00	0.70
	09:00	0.70
	10:00	1.00
	11:00	1.20
	12:00	2.20
	13:00	2.70
	14:00	5.70
	15:00	6.10
	16:00	5.80
	17:00	5.40
	18:00	4.40
	19:00	4.10
	20:00	4.10
	21:00	3.80
	22:00	4.20
	23:00	4.00
Sun, 26/Jan	24:00	4.00
	01:00	4.10
	02:00	4.20
	03:00	4.00
	04:00	3.50
	05:00	3.10
	06:00	3.30
	07:00	3.00
	08:00	3.10
	09:00	2.90
	10:00	2.80
	11:00	2.90
	12:00	3.30
	13:00	3.70
	14:00	3.10
	15:00	3.60
	16:00	3.50
	17:00	2.10
	18:00	1.60
	19:00	1.20
	20:00	1.10
	21:00	0.70
	22:00	0.50
	23:00	0.90
Mon, 27/Jan	24:00	0.70
	01:00	0.80
	02:00	0.30
	03:00	0.30
	04:00	0.50
	05:00	0.70
	06:00	0.70
	07:00	0.70
	08:00	0.90
	09:00	1.10
	10:00	1.30
	11:00	1.90
	12:00	2.60
	13:00	2.70
	14:00	2.90
	15:00	2.80
	16:00	2.80
	17:00	1.90
	18:00	1.70
	19:00	1.00
	20:00	0.70
	21:00	0.50
	22:00	0.00
	23:00	-0.10
Tue, 28/Jan	24:00	-0.30
	01:00	-0.30
	02:00	0.00
	03:00	0.20
	04:00	0.40
	05:00	0.60
	06:00	0.40
	07:00	0.50
	08:00	0.70
	09:00	0.80
	10:00	0.70
	11:00	1.00
	12:00	1.30
	13:00	1.70
	14:00	2.00
	15:00	2.40
	16:00	1.90
	17:00	1.90
	18:00	1.90
	19:00	1.70
	20:00	1.60
	21:00	1.70
	22:00	1.50
	23:00	1.30
Wed, 29/Jan	24:00	1.30
	01:00	1.20
	02:00	1.10
	03:00	1.00
	04:00	1.00
	05:00	1.00
	06:00	0.90
	07:00	1.00
	08:00	1.20
	09:00	1.50
	10:00	1.20
	11:00	1.90
	12:00	2.30
	13:00	2.50
	14:00	2.70
	15:00	2.40
	16:00	2.30
	17:00	2.00
	18:00	1.70
	19:00	1.70
	20:00	1.80
	21:00	1.80
	22:00	2.00
	23:00	2.30
Thu, 30/Jan	24:00	2.40
	01:00	2.30
	02:00	2.20
	03:00	2.10
	04:00	2.00
	05:00	1.90
	06:00	1.90
	07:00	1.90
	08:00	2.00
	09:00	2.10
	10:00	2.20
	11:00	2.80
	12:00	3.00
	13:00	3.10
	14:00	3.10
	15:00	3.20
	16:00	3.00
	17:00	2.90
	18:00	2.80
	19:00	2.70
	20:00	2.80
	21:00	2.60
	22:00	2.30
	23:00	2.20
Fri, 31/Jan	24:00	2.00
	01:00	2.20
	02:00	2.20
	03:00	2.60
	04:00	2.60
	05:00	2.60
	06:00	2.20
	07:00	2.20
	08:00	2.10
	09:00	2.40
	10:00	3.50
	11:00	4.30
	12:00	4.80
	13:00	5.00
	14:00	5.30
	15:00	5.60
	16:00	5.40
	17:00	5.20
	18:00	4.70
	19:00	3.60
	20:00	3.10
	21:00	2.90
	22:00	2.80
	23:00	2.30
Sat, 01/Feb	24:00	2.00
	01:00	1.80
	02:00	1.80
	03:00	1.90
	04:00	2.40
	05:00	2.40
	06:00	2.60
	07:00	2.70
	08:00	2.40
	09:00	2.60
	10:00	3.00
	11:00	4.00
	12:00	4.40
	13:00	5.40
	14:00	5.80
	15:00	5.70
	16:00	5.30
	17:00	5.20
	18:00	5.10
	19:00	5.10
	20:00	4.60
	21:00	3.80
	22:00	3.40
	23:00	3.60
Sun, 02/Feb	24:00	3.60
	01:00	4.10
	02:00	3.90
	03:00	3.80
	04:00	3.00
	05:00	3.40
	06:00	3.30
	07:00	3.80
	08:00	4.10
	09:00	4.20
	10:00	4.40
	11:00	4.80
	12:00	5.30
	13:00	5.80
	14:00	5.50
	15:00	5.70
	16:00	5.00
	17:00	4.20
	18:00	3.40
	19:00	2.00
	20:00	1.40
	21:00	1.10
	22:00	-0.10
	23:00	-0.60
Mon, 03/Feb	24:00	-1.10
	01:00	-1.20
	02:00	-1.80
	03:00	-3.00
	04:00	-3.00
	05:00	-2.90
	06:00	-3.10
	07:00	-2.10
	08:00	-2.10
	09:00	-1.70
	10:00	-0.30
	11:00	1.20
	12:00	2.40
	13:00	2.70
	14:00	2.90
	15:00	2.80
	16:00	2.90
	17:00	2.70
	18:00	2.30
